accuracy,log_loss,fit_time,predict_time,total_time,peak_memory_mb,n_train,n_test,dataset,method_name,k,run,selection_method,selection_space,method,space,t_stage12,t_retrieval,t_stage3
0.5706495037830401,0.9745618082168339,9.349702835083008,6.320644378662109,15.670347213745117,51948.40576,81412,20354,Diabetes130US,emb_cosine,16,1,cosine,embedding,cosine,embedding,1.8029260635375977,0.007982254028320312,4.358875036239624
0.5730077626019455,0.9187867025504574,8.658719301223755,8.585174798965454,17.24389410018921,51948.40576,81412,20354,Diabetes130US,emb_cosine,32,1,cosine,embedding,cosine,embedding,1.8018670082092285,0.00833892822265625,6.624518871307373
0.5852412302250172,0.8921503044789716,8.787086486816406,12.862771034240723,21.64985752105713,51948.40576,81412,20354,Diabetes130US,emb_cosine,64,1,cosine,embedding,cosine,embedding,1.8033201694488525,0.008208036422729492,10.900843858718872
0.595165569421244,0.8744913751656421,9.052489757537842,22.5750732421875,31.627562999725342,67762.075136,81412,20354,Diabetes130US,emb_cosine,128,1,cosine,embedding,cosine,embedding,1.8047399520874023,0.008449077606201172,20.61176371574402
0.6171268546723003,0.8363556092947779,4.0374767780303955,19.60089135169983,23.638368129730225,53565.595136,81412,20354,Diabetes130US,full_tabicl,81412,2,none,none,,,,,
0.5765451508303037,0.9353850530423572,8.784772872924805,27.105675220489502,35.89044809341431,52119.70048,81412,20354,Diabetes130US,random,16,2,random,embedding,random,embedding,1.8244798183441162,21.96095108985901,3.169025182723999
0.576299498870001,0.925311311150406,9.56087851524353,29.521159410476685,39.082037925720215,52119.70048,81412,20354,Diabetes130US,random,32,2,random,embedding,random,embedding,1.8239824771881104,22.112607717514038,5.4333202838897705
0.5757099341652746,0.917668910673868,9.524250030517578,33.574997663497925,43.0992476940155,52119.70048,81412,20354,Diabetes130US,random,64,2,random,embedding,random,embedding,1.8219273090362549,21.893380403518677,9.708309650421143
0.583276014542596,0.8976124800837483,10.344656944274902,44.74056148529053,55.08521842956543,67764.434432,81412,20354,Diabetes130US,random,128,2,random,embedding,random,embedding,1.8229658603668213,22.01619553565979,20.75031566619873
0.5380760538469097,1.0531429261438006,10.033283710479736,5.89670467376709,15.929988384246826,52119.70048,81412,20354,Diabetes130US,raw_euclidean,16,2,euclidean,raw,euclidean,raw,1.742187261581421,0.011854887008666992,3.8381974697113037
0.5405325734499361,0.988411391956949,9.803951501846313,8.156920194625854,17.960871696472168,52119.70048,81412,20354,Diabetes130US,raw_euclidean,32,2,euclidean,raw,euclidean,raw,1.7423481941223145,0.011976242065429688,6.097712755203247
0.5512429989191314,0.9498139944238404,9.625978946685791,12.427296161651611,22.053275108337402,52119.70048,81412,20354,Diabetes130US,raw_euclidean,64,2,euclidean,raw,euclidean,raw,1.7404084205627441,0.011565685272216797,10.37055516242981
0.5699125479021323,0.9134901032005589,9.879130125045776,23.089109897613525,32.9682400226593,67839.3344,81412,20354,Diabetes130US,raw_euclidean,128,2,euclidean,raw,euclidean,raw,1.7427589893341064,0.01202249526977539,21.028258323669434
0.537830401886607,1.0484605661709652,10.224815607070923,5.629760503768921,15.854576110839844,52119.70048,81412,20354,Diabetes130US,raw_cosine,16,2,cosine,raw,cosine,raw,1.74237060546875,0.009737730026245117,3.5721569061279297
0.540336051881694,0.9840727217791184,8.891835451126099,7.8931779861450195,16.785013437271118,52119.70048,81412,20354,Diabetes130US,raw_cosine,32,2,cosine,raw,cosine,raw,1.7433202266693115,0.00977945327758789,5.833798408508301
0.551488650879434,0.9494239531764213,9.017105340957642,12.16234803199768,21.179453372955322,52119.70048,81412,20354,Diabetes130US,raw_cosine,64,2,cosine,raw,cosine,raw,1.741593599319458,0.009519577026367188,10.105151891708374
0.5765942812223641,0.9124757967577102,9.543532133102417,22.104194164276123,31.64772629737854,67839.3344,81412,20354,Diabetes130US,raw_cosine,128,2,cosine,raw,cosine,raw,1.7406086921691895,0.009562969207763672,20.048585653305054
0.5675542890832269,0.9726589198267458,9.918620109558105,6.601028203964233,16.51964831352234,52119.70048,81412,20354,Diabetes130US,emb_euclidean,16,2,euclidean,embedding,euclidean,embedding,1.823807716369629,0.010736227035522461,4.615971565246582
0.5681929841800137,0.9225391558394124,9.502556800842285,8.862096786499023,18.36465358734131,52119.70048,81412,20354,Diabetes130US,emb_euclidean,32,2,euclidean,embedding,euclidean,embedding,1.8215882778167725,0.010970115661621094,6.8779730796813965
